_id,Row Labels,Under $50K,$50K to $100K,$100K to $150K,$150K to $200K,$200K to $250K,$250K to $300K,$300K to $350K,$350K to $400K,$400K to $450K,$450K to $500K,Over $500K,Total
242,42003475304,0,0,0,3,7,4,12,4,3,2,0,35
243,42003475401,1,0,4,3,8,6,3,1,3,0,4,33
244,42003475402,0,0,1,5,6,4,2,4,1,1,5,29
245,42003476100,1,2,9,21,4,1,0,0,0,0,0,38
246,42003476200,2,4,10,21,4,3,0,0,0,0,0,44
247,42003477100,0,3,3,31,17,9,4,2,0,0,0,69
248,42003477200,1,4,14,10,18,14,2,3,1,0,0,67
249,42003477300,1,2,9,19,23,9,1,1,1,0,2,68
250,42003478100,3,14,18,17,9,1,0,1,0,0,0,63
251,42003478200,5,25,33,31,7,2,0,0,0,0,0,103
252,42003479000,0,1,7,10,5,2,0,0,0,0,0,25
253,42003480101,0,2,8,15,16,6,0,0,0,0,0,47
254,42003480102,3,2,5,14,9,3,1,0,0,0,0,37
255,42003480200,2,4,7,17,11,1,1,0,0,0,0,43
256,42003480300,1,3,10,15,6,1,0,1,1,0,0,38
257,42003480400,0,6,14,33,6,3,1,0,0,0,0,63
258,42003481000,13,18,6,1,0,0,0,0,0,0,0,38
259,42003482500,2,3,5,5,4,0,2,0,0,0,0,21
260,42003483800,17,6,1,0,0,0,0,0,0,0,0,24
261,42003484300,29,10,5,6,1,0,0,0,0,0,0,51
262,42003484500,1,12,27,28,1,2,0,0,0,0,0,71
263,42003484600,8,8,10,4,1,0,0,0,0,0,0,31
264,42003485000,7,9,4,0,1,0,0,0,0,0,0,21
265,42003486700,12,2,1,0,0,0,0,0,0,0,0,15
266,42003486800,17,3,0,0,0,0,0,0,0,0,0,20
267,42003486900,17,4,1,0,0,0,0,0,0,0,0,22
268,42003487000,3,15,7,1,0,0,0,0,0,0,0,26
269,42003488100,8,6,3,3,1,3,0,0,0,0,0,24
270,42003488200,10,10,9,4,1,0,0,0,0,0,0,34
271,42003488300,1,3,4,8,5,0,1,0,0,0,0,22
272,42003488400,7,15,17,3,3,0,0,0,0,0,0,45
273,42003488500,1,2,7,14,4,0,0,0,0,0,0,28
274,42003488600,1,6,19,13,2,4,2,0,0,0,0,47
275,42003489001,2,4,10,17,13,8,4,2,0,0,0,60
276,42003489002,0,1,8,17,18,10,3,0,1,0,0,58
277,42003490002,3,6,5,12,13,8,2,1,1,0,0,51
278,42003490003,2,1,6,5,11,9,3,3,0,1,1,42
279,42003490004,1,0,4,7,10,15,11,4,3,1,0,56
280,42003491101,0,1,6,7,7,4,6,8,13,6,6,64
281,42003491200,2,1,4,9,0,0,1,2,0,1,1,21
282,42003492700,30,5,1,0,0,1,0,0,0,0,0,37
283,42003492800,25,10,1,0,0,0,0,0,0,0,0,36
284,42003492900,18,10,2,0,0,0,0,0,0,0,0,30
285,42003494000,4,2,5,3,0,0,0,0,0,0,0,14
286,42003495000,3,3,4,7,2,1,0,0,0,0,0,20
287,42003496101,2,6,7,10,2,1,0,0,0,0,0,28
288,42003496102,3,8,8,10,5,2,2,1,1,1,1,42
289,42003496200,2,8,13,10,3,1,2,2,1,1,0,43
290,42003497000,3,2,1,2,0,1,0,0,0,0,0,9
291,42003498000,3,3,15,4,0,0,0,0,0,0,0,25
292,42003499300,5,6,7,0,0,0,0,0,0,0,0,18
293,42003499400,21,14,6,0,0,0,0,0,0,0,0,41
294,42003500300,16,20,17,3,0,0,0,0,0,0,0,56
295,42003501000,3,4,4,0,1,0,0,0,0,0,0,12
296,42003503002,8,11,21,20,7,4,1,0,0,0,0,72
297,42003504100,19,16,19,7,0,0,0,0,0,0,0,61
298,42003507000,17,11,9,1,0,0,0,0,0,0,0,38
299,42003508000,17,5,2,0,0,0,0,0,0,0,0,24
300,42003509400,25,17,8,1,0,0,0,0,0,0,0,51
301,42003510000,18,5,1,0,0,0,0,0,0,0,0,24
302,42003512000,20,7,2,1,0,0,0,0,0,0,0,30
303,42003512800,12,1,0,0,0,0,0,0,0,0,0,13
304,42003512900,9,1,0,0,0,0,0,0,0,0,0,10
305,42003513800,14,2,0,1,0,0,0,0,0,0,0,17
306,42003514000,7,0,0,0,0,0,0,0,0,0,0,7
307,42003515100,11,13,6,3,1,0,0,0,0,0,0,34
308,42003515200,3,3,7,6,2,0,0,0,0,0,0,21
309,42003515300,6,5,5,4,0,1,0,0,0,0,0,21
310,42003515401,2,4,10,2,7,1,4,2,1,1,2,36
311,42003516100,0,0,1,3,2,3,5,0,2,0,0,16
312,42003516200,0,1,0,1,5,3,2,1,0,0,0,13
313,42003517000,3,7,6,3,0,0,0,0,0,0,0,19
314,42003518001,3,6,11,10,10,7,3,2,2,0,0,54
315,42003519000,1,3,6,8,10,13,5,3,0,0,1,50
316,42003520001,2,7,14,6,3,4,2,3,0,0,0,41
317,42003520002,12,11,16,11,5,0,0,0,0,0,0,55
318,42003521100,2,6,8,16,7,5,1,1,0,3,0,49
319,42003521200,2,8,17,23,3,3,0,1,1,0,0,58
320,42003521301,1,0,7,8,7,5,1,1,0,0,0,30
321,42003521302,3,10,15,12,5,2,1,0,0,0,0,48
322,42003521401,0,0,0,17,6,2,2,1,1,0,0,29
323,42003521402,0,0,4,7,20,19,3,2,1,2,3,61
324,42003521500,0,4,8,19,7,7,0,1,0,0,1,47
325,42003522000,17,17,2,1,0,0,0,0,0,0,0,37
326,42003523100,24,21,11,6,0,0,0,0,0,0,0,62
327,42003523200,16,20,17,16,1,0,0,0,0,0,0,70
328,42003523300,4,18,23,20,6,2,0,0,0,0,0,73
329,42003523400,4,24,36,15,1,0,0,0,0,0,0,80
330,42003523501,4,17,30,16,4,0,1,0,0,0,0,72
331,42003523502,8,8,10,3,1,0,0,0,0,0,0,30
332,42003523600,6,24,22,23,5,1,0,0,0,1,1,83
333,42003523701,4,14,15,16,5,2,0,0,0,0,0,56
334,42003523702,13,13,23,16,3,0,0,0,0,0,0,68
335,42003523800,7,12,19,38,5,1,1,0,0,0,0,83
336,42003524000,6,8,5,3,3,0,0,0,0,0,0,25
337,42003525100,1,6,3,11,5,6,2,2,0,1,0,37
338,42003525200,1,2,1,3,2,3,1,0,1,11,6,31
339,42003525300,1,0,1,9,0,2,1,0,1,3,5,23
340,42003526101,4,4,21,8,5,11,15,14,3,1,1,87
341,42003526102,3,0,6,2,1,3,2,3,0,0,0,20
342,42003526201,1,6,2,10,7,2,2,3,1,0,0,34
343,42003526202,2,2,7,19,13,5,4,1,2,0,1,56
344,42003526301,0,2,5,23,15,5,0,1,0,1,0,52
345,42003526302,1,3,0,12,13,5,0,0,0,0,0,34
346,42003550900,19,3,0,0,0,0,0,0,0,0,0,22
347,42003551200,11,13,4,0,0,0,0,0,0,0,0,28
348,42003551300,10,12,9,1,1,0,0,0,0,1,0,34
349,42003551900,2,0,0,0,0,0,0,0,0,0,0,2
350,42003552000,21,4,0,0,0,0,0,0,0,0,0,25
